Wert,Jahr,Kernkraftwerk,Erzeugung/ Arbeitsausnutzung
84.9,2012,Kernkraftwerke - Total,Arbeitsausnutzung in %
2683,2012,Beznau I,Elektrizitätserzeugung in GWh
84.4,2012,Beznau I,Arbeitsausnutzung in %
2770,2012,Beznau II,Elektrizitätserzeugung in GWh
86.5,2012,Beznau II,Arbeitsausnutzung in %
2993,2012,Mühleberg,Elektrizitätserzeugung in GWh
91.3,2012,Mühleberg,Arbeitsausnutzung in %
8015,2012,Gösgen,Elektrizitätserzeugung in GWh
93.4,2012,Gösgen,Arbeitsausnutzung in %
7884,2012,Leibstadt,Elektrizitätserzeugung in GWh
75.4,2012,Leibstadt,Arbeitsausnutzung in %
24871,2013,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
86.1,2013,Kernkraftwerke - Total,Arbeitsausnutzung in %
3012,2013,Beznau I,Elektrizitätserzeugung in GWh
95,2013,Beznau I,Arbeitsausnutzung in %
2846,2013,Beznau II,Elektrizitätserzeugung in GWh
89.1,2013,Beznau II,Arbeitsausnutzung in %
2940,2013,Mühleberg,Elektrizitätserzeugung in GWh
90,2013,Mühleberg,Arbeitsausnutzung in %
6382,2013,Gösgen,Elektrizitätserzeugung in GWh
74.5,2013,Gösgen,Arbeitsausnutzung in %
9691,2013,Leibstadt,Elektrizitätserzeugung in GWh
90.7,2013,Leibstadt,Arbeitsausnutzung in %
26370,2014,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
90.9,2014,Kernkraftwerke - Total,Arbeitsausnutzung in %
2884,2014,Beznau I,Elektrizitätserzeugung in GWh
90.8,2014,Beznau I,Arbeitsausnutzung in %
3029,2014,Beznau II,Elektrizitätserzeugung in GWh
94.8,2014,Beznau II,Arbeitsausnutzung in %
3027,2014,Mühleberg,Elektrizitätserzeugung in GWh
92.6,2014,Mühleberg,Arbeitsausnutzung in %
7972,2014,Gösgen,Elektrizitätserzeugung in GWh
91.9,2014,Gösgen,Arbeitsausnutzung in %
9458,2014,Leibstadt,Elektrizitätserzeugung in GWh
88.5,2014,Leibstadt,Arbeitsausnutzung in %
