Value,Jahr,Primärenergieträger,Einheit
"""...""",1929,Übrige erneuerbare Energien,In TJ
"""...""",1929,Übrige erneuerbare Energien,Anteil in %
150510,1929,Gesamter Energieeinsatz,In TJ
102.4225927186118,1929,Gesamter Energieeinsatz,Anteil in %
-3560,1929,Elektrizität Import / Export-Saldo,In TJ
-2.422592718611773,1929,Elektrizität Import / Export-Saldo,Anteil in %
146950,1929,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1929,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19310,1930,Holz und Holzkohle,In TJ
13.95533713955337,1930,Holz und Holzkohle,Anteil in %
18720,1930,Wasserkraft,In TJ
13.52894413528944,1930,Wasserkraft,Anteil in %
"""...""",1930,Müll und Industrieabfälle,In TJ
"""...""",1930,Müll und Industrieabfälle,Anteil in %
93780,1930,Kohle,In TJ
67.77480667774806,1930,Kohle,Anteil in %
10000,1930,Rohöl und Erdölprodukte,In TJ
7.227000072270001,1930,Rohöl und Erdölprodukte,Anteil in %
"""...""",1930,Gas,In TJ
"""...""",1930,Gas,Anteil in %
"""...""",1930,Kernbrennstoffe,In TJ
"""...""",1930,Kernbrennstoffe,Anteil in %
"""...""",1930,Übrige erneuerbare Energien,In TJ
"""...""",1930,Übrige erneuerbare Energien,Anteil in %
141810,1930,Gesamter Energieeinsatz,In TJ
102.4860880248609,1930,Gesamter Energieeinsatz,Anteil in %
-3440,1930,Elektrizität Import / Export-Saldo,In TJ
-2.48608802486088,1930,Elektrizität Import / Export-Saldo,Anteil in %
138370,1930,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1930,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
20390,1931,Holz und Holzkohle,In TJ
14.25375742747291,1931,Holz und Holzkohle,Anteil in %
17740,1931,Wasserkraft,In TJ
12.40125830129325,1931,Wasserkraft,Anteil in %
"""...""",1931,Müll und Industrieabfälle,In TJ
"""...""",1931,Müll und Industrieabfälle,Anteil in %
96590,1931,Kohle,In TJ
67.52184550856345,1931,Kohle,Anteil in %
11810,1931,Rohöl und Erdölprodukte,In TJ
8.255854596295002,1931,Rohöl und Erdölprodukte,Anteil in %
"""...""",1931,Gas,In TJ
"""...""",1931,Gas,Anteil in %
"""...""",1931,Kernbrennstoffe,In TJ
"""...""",1931,Kernbrennstoffe,Anteil in %
"""...""",1931,Übrige erneuerbare Energien,In TJ
"""...""",1931,Übrige erneuerbare Energien,Anteil in %
146530,1931,Gesamter Energieeinsatz,In TJ
102.4327158336246,1931,Gesamter Energieeinsatz,Anteil in %
-3480,1931,Elektrizität Import / Export-Saldo,In TJ
-2.432715833624607,1931,Elektrizität Import / Export-Saldo,Anteil in %
143050,1931,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1931,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
