Wert,Jahr,Energietyp,Aus-/ Einfuhr
91920,1995,Gas (TJ),Einfuhr
0,1995,Gas (TJ),Ausfuhr
91930,1995,Gas (TJ),Saldo
"""...""",1995,Biotreibstoffe (TJ),Einfuhr
"""...""",1995,Biotreibstoffe (TJ),Ausfuhr
"""...""",1995,Biotreibstoffe (TJ),Saldo
28948,1995,Elektrizität (GWh),Einfuhr
36219,1995,Elektrizität (GWh),Ausfuhr
-7271,1995,Elektrizität (GWh),Saldo
350,1996,Holz und Holzkohle (TJ),Einfuhr
220,1996,Holz und Holzkohle (TJ),Ausfuhr
130,1996,Holz und Holzkohle (TJ),Saldo
12920,1996,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
670,1996,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12250,1996,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
165,1996,Kohle (in 1000 t),Einfuhr
3,1996,Kohle (in 1000 t),Ausfuhr
162,1996,Kohle (in 1000 t),Saldo
99500,1996,Gas (TJ),Einfuhr
0,1996,Gas (TJ),Ausfuhr
99490,1996,Gas (TJ),Saldo
"""...""",1996,Biotreibstoffe (TJ),Einfuhr
"""...""",1996,Biotreibstoffe (TJ),Ausfuhr
"""...""",1996,Biotreibstoffe (TJ),Saldo
33485,1996,Elektrizität (GWh),Einfuhr
34431,1996,Elektrizität (GWh),Ausfuhr
-946,1996,Elektrizität (GWh),Saldo
330,1997,Holz und Holzkohle (TJ),Einfuhr
180,1997,Holz und Holzkohle (TJ),Ausfuhr
150,1997,Holz und Holzkohle (TJ),Saldo
13204,1997,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
541,1997,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12663,1997,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
113,1997,Kohle (in 1000 t),Einfuhr
0,1997,Kohle (in 1000 t),Ausfuhr
113,1997,Kohle (in 1000 t),Saldo
96060,1997,Gas (TJ),Einfuhr
0,1997,Gas (TJ),Ausfuhr
96060,1997,Gas (TJ),Saldo
0,1997,Biotreibstoffe (TJ),Einfuhr
"""...""",1997,Biotreibstoffe (TJ),Ausfuhr
"""...""",1997,Biotreibstoffe (TJ),Saldo
30655,1997,Elektrizität (GWh),Einfuhr
37409,1997,Elektrizität (GWh),Ausfuhr
-6754,1997,Elektrizität (GWh),Saldo
360,1998,Holz und Holzkohle (TJ),Einfuhr
170,1998,Holz und Holzkohle (TJ),Ausfuhr
190,1998,Holz und Holzkohle (TJ),Saldo
13574,1998,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
489,1998,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
13085,1998,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
98,1998,Kohle (in 1000 t),Einfuhr
0,1998,Kohle (in 1000 t),Ausfuhr
98,1998,Kohle (in 1000 t),Saldo
98880,1998,Gas (TJ),Einfuhr
0,1998,Gas (TJ),Ausfuhr
98880,1998,Gas (TJ),Saldo
0,1998,Biotreibstoffe (TJ),Einfuhr
"""...""",1998,Biotreibstoffe (TJ),Ausfuhr
"""...""",1998,Biotreibstoffe (TJ),Saldo
37419,1998,Elektrizität (GWh),Einfuhr
43373,1998,Elektrizität (GWh),Ausfuhr
-5954,1998,Elektrizität (GWh),Saldo
340,1999,Holz und Holzkohle (TJ),Einfuhr
250,1999,Holz und Holzkohle (TJ),Ausfuhr
90,1999,Holz und Holzkohle (TJ),Saldo
12655,1999,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
576,1999,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12079,1999,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
94,1999,Kohle (in 1000 t),Einfuhr
0,1999,Kohle (in 1000 t),Ausfuhr
94,1999,Kohle (in 1000 t),Saldo
102450,1999,Gas (TJ),Einfuhr
0,1999,Gas (TJ),Ausfuhr
102450,1999,Gas (TJ),Saldo
0,1999,Biotreibstoffe (TJ),Einfuhr
"""...""",1999,Biotreibstoffe (TJ),Ausfuhr
"""...""",1999,Biotreibstoffe (TJ),Saldo
37064,1999,Elektrizität (GWh),Einfuhr
47293,1999,Elektrizität (GWh),Ausfuhr
-10229,1999,Elektrizität (GWh),Saldo
340,2000,Holz und Holzkohle (TJ),Einfuhr
340,2000,Holz und Holzkohle (TJ),Ausfuhr
