Wert,Jahr,Produktion und Eigenverbrauch
138,1992,Nicht energetische Produkte
172,1992,Eigenverbrauch
3879,1992,Netto-Ausstoss
31.5,1992,Deckung des Bedarfs (%)
2498,1993,Heizöl (Total)
1610,1993,Heizöl extraleicht
15,1993,Heizöl mittel
873,1993,Heizöl schwer
1765,1993,Treibstoffe (Total)
249,1993,Superbenzin
830,1993,Normalbenzin
283,1993,Flugpetrol
403,1993,Diesel
193,1993,Übrige energetische Produkte
127,1993,Nicht energetische Produkte
195,1993,Eigenverbrauch
4388,1993,Netto-Ausstoss
37.5,1993,Deckung des Bedarfs (%)
2519,1994,Heizöl (Total)
1647,1994,Heizöl extraleicht
0,1994,Heizöl mittel
872,1994,Heizöl schwer
1849,1994,Treibstoffe (Total)
241,1994,Superbenzin
866,1994,Normalbenzin
311,1994,Flugpetrol
431,1994,Diesel
190,1994,Übrige energetische Produkte
146,1994,Nicht energetische Produkte
225,1994,Eigenverbrauch
4479,1994,Netto-Ausstoss
39.3,1994,Deckung des Bedarfs (%)
2240,1995,Heizöl (Total)
1555,1995,Heizöl extraleicht
0,1995,Heizöl mittel
685,1995,Heizöl schwer
1775,1995,Treibstoffe (Total)
201,1995,Superbenzin
836,1995,Normalbenzin
313,1995,Flugpetrol
425,1995,Diesel
177,1995,Übrige energetische Produkte
145,1995,Nicht energetische Produkte
219,1995,Eigenverbrauch
4118,1995,Netto-Ausstoss
35.5,1995,Deckung des Bedarfs (%)
2708,1996,Heizöl (Total)
1848,1996,Heizöl extraleicht
"""...""",1996,Heizöl mittel
860,1996,Heizöl schwer
1962,1996,Treibstoffe (Total)
135,1996,Superbenzin
986,1996,Normalbenzin
382,1996,Flugpetrol
459,1996,Diesel
208,1996,Übrige energetische Produkte
136,1996,Nicht energetische Produkte
235,1996,Eigenverbrauch
4779,1996,Netto-Ausstoss
40.5,1996,Deckung des Bedarfs (%)
2393,1997,Heizöl (Total)
1656,1997,Heizöl extraleicht
"""...""",1997,Heizöl mittel
737,1997,Heizöl schwer
2060,1997,Treibstoffe (Total)
120,1997,Superbenzin
1072,1997,Normalbenzin
417,1997,Flugpetrol
451,1997,Diesel
223,1997,Übrige energetische Produkte
135,1997,Nicht energetische Produkte
227,1997,Eigenverbrauch
4584,1997,Netto-Ausstoss
39.3,1997,Deckung des Bedarfs (%)
2306,1998,Heizöl (Total)
1596,1998,Heizöl extraleicht
"""...""",1998,Heizöl mittel
710,1998,Heizöl schwer
2144,1998,Treibstoffe (Total)
85,1998,Superbenzin
1126,1998,Normalbenzin
418,1998,Flugpetrol
515,1998,Diesel
367,1998,Übrige energetische Produkte
245,1998,Nicht energetische Produkte
233,1998,Eigenverbrauch
4829,1998,Netto-Ausstoss
40,1998,Deckung des Bedarfs (%)
2289,1999,Heizöl (Total)
1494,1999,Heizöl extraleicht
"""...""",1999,Heizöl mittel
795,1999,Heizöl schwer
2268,1999,Treibstoffe (Total)
62,1999,Superbenzin
1193,1999,Normalbenzin
498,1999,Flugpetrol
515,1999,Diesel
359,1999,Übrige energetische Produkte
184,1999,Nicht energetische Produkte
240,1999,Eigenverbrauch
4860,1999,Netto-Ausstoss
40.3,1999,Deckung des Bedarfs (%)
2103,2000,Heizöl (Total)
1350,2000,Heizöl extraleicht
"""...""",2000,Heizöl mittel
753,2000,Heizöl schwer
2019,2000,Treibstoffe (Total)
"""...""",2000,Superbenzin
1068,2000,Normalbenzin
454,2000,Flugpetrol
497,2000,Diesel
288,2000,Übrige energetische Produkte
236,2000,Nicht energetische Produkte
215,2000,Eigenverbrauch
4431,2000,Netto-Ausstoss
37.7,2000,Deckung des Bedarfs (%)
2353,2001,Heizöl (Total)
1578,2001,Heizöl extraleicht
"""...""",2001,Heizöl mittel
775,2001,Heizöl schwer
2013,2001,Treibstoffe (Total)
"""...""",2001,Superbenzin
1159,2001,Normalbenzin
407,2001,Flugpetrol
447,2001,Diesel
294,2001,Übrige energetische Produkte
248,2001,Nicht energetische Produkte
232,2001,Eigenverbrauch
4676,2001,Netto-Ausstoss
38.9,2001,Deckung des Bedarfs (%)
2281,2002,Heizöl (Total)
1538,2002,Heizöl extraleicht
"""...""",2002,Heizöl mittel
743,2002,Heizöl schwer
2058,2002,Treibstoffe (Total)
"""...""",2002,Superbenzin
1178,2002,Normalbenzin
406,2002,Flugpetrol
474,2002,Diesel
332,2002,Übrige energetische Produkte
244,2002,Nicht energetische Produkte
242,2002,Eigenverbrauch
4673,2002,Netto-Ausstoss
40.9,2002,Deckung des Bedarfs (%)
2177,2003,Heizöl (Total)
1418,2003,Heizöl extraleicht
"""...""",2003,Heizöl mittel
759,2003,Heizöl schwer
1891,2003,Treibstoffe (Total)
"""...""",2003,Superbenzin
1072,2003,Normalbenzin
344,2003,Flugpetrol
475,2003,Diesel
277,2003,Übrige energetische Produkte
269,2003,Nicht energetische Produkte
224,2003,Eigenverbrauch
4390,2003,Netto-Ausstoss
37.9,2003,Deckung des Bedarfs (%)
2225,2004,Heizöl (Total)
1524,2004,Heizöl extraleicht
"""...""",2004,Heizöl mittel
701,2004,Heizöl schwer
2336,2004,Treibstoffe (Total)
"""...""",2004,Superbenzin
1362,2004,Normalbenzin
350,2004,Flugpetrol
624,2004,Diesel
370,2004,Übrige energetische Produkte
283,2004,Nicht energetische Produkte
310,2004,Eigenverbrauch
4904,2004,Netto-Ausstoss
42.7,2004,Deckung des Bedarfs (%)
2107,2005,Heizöl (Total)
1497,2005,Heizöl extraleicht
"""...""",2005,Heizöl mittel
610,2005,Heizöl schwer
2152,2005,Treibstoffe (Total)
"""...""",2005,Superbenzin
1267,2005,Normalbenzin
212,2005,Flugpetrol
673,2005,Diesel
397,2005,Übrige energetische Produkte
200,2005,Nicht energetische Produkte
320,2005,Eigenverbrauch
4536,2005,Netto-Ausstoss
39.3,2005,Deckung des Bedarfs (%)
2249,2006,Heizöl (Total)
1664,2006,Heizöl extraleicht
"""...""",2006,Heizöl mittel
585,2006,Heizöl schwer
2602,2006,Treibstoffe (Total)
"""...""",2006,Superbenzin
1465,2006,Normalbenzin
228,2006,Flugpetrol
909,2006,Diesel
456,2006,Übrige energetische Produkte
187,2006,Nicht energetische Produkte
348,2006,Eigenverbrauch
5146,2006,Netto-Ausstoss
45,2006,Deckung des Bedarfs (%)
1964,2007,Heizöl (Total)
1377,2007,Heizöl extraleicht
"""...""",2007,Heizöl mittel
587,2007,Heizöl schwer
2258,2007,Treibstoffe (Total)
"""...""",2007,Superbenzin
1280,2007,Normalbenzin
183,2007,Flugpetrol
795,2007,Diesel
385,2007,Übrige energetische Produkte
133,2007,Nicht energetische Produkte
300,2007,Eigenverbrauch
4440,2007,Netto-Ausstoss
40.4,2007,Deckung des Bedarfs (%)
1896,2008,Heizöl (Total)
1299,2008,Heizöl extraleicht
"""...""",2008,Heizöl mittel
597,2008,Heizöl schwer
2587,2008,Treibstoffe (Total)
"""...""",2008,Superbenzin
1370,2008,Normalbenzin
190,2008,Flugpetrol
1027,2008,Diesel
443,2008,Übrige energetische Produkte
170,2008,Nicht energetische Produkte
335,2008,Eigenverbrauch
4761,2008,Netto-Ausstoss
41.9,2008,Deckung des Bedarfs (%)
1713,2009,Heizöl (Total)
1330,2009,Heizöl extraleicht
"""...""",2009,Heizöl mittel
383,2009,Heizöl schwer
2574,2009,Treibstoffe (Total)
"""...""",2009,Superbenzin
1427,2009,Normalbenzin
96,2009,Flugpetrol
1051,2009,Diesel
413,2009,Übrige energetische Produkte
115,2009,Nicht energetische Produkte
318,2009,Eigenverbrauch
4497,2009,Netto-Ausstoss
40.5,2009,Deckung des Bedarfs (%)
1483,2010,Heizöl (Total)
1106,2010,Heizöl extraleicht
"""...""",2010,Heizöl mittel
377,2010,Heizöl schwer
2546,2010,Treibstoffe (Total)
"""...""",2010,Superbenzin
1319,2010,Normalbenzin
64,2010,Flugpetrol
1163,2010,Diesel
352,2010,Übrige energetische Produkte
132,2010,Nicht energetische Produkte
312,2010,Eigenverbrauch
4201,2010,Netto-Ausstoss
37,2010,Deckung des Bedarfs (%)
1461,2011,Heizöl (Total)
1117,2011,Heizöl extraleicht
"""...""",2011,Heizöl mittel
344,2011,Heizöl schwer
2436,2011,Treibstoffe (Total)
"""...""",2011,Superbenzin
1263,2011,Normalbenzin
81,2011,Flugpetrol
1092,2011,Diesel
358,2011,Übrige energetische Produkte
153,2011,Nicht energetische Produkte
289,2011,Eigenverbrauch
4119,2011,Netto-Ausstoss
39.4,2011,Deckung des Bedarfs (%)
1121,2012,Heizöl (Total)
846,2012,Heizöl extraleicht
"""...""",2012,Heizöl mittel
275,2012,Heizöl schwer
