Wert,Jahr,Primärenergieträger,Einheit
"""...""",1927,Übrige erneuerbare Energien,In TJ
"""...""",1927,Übrige erneuerbare Energien,Anteil in %
122790,1928,Primärenergieträger - Total,In TJ
100,1928,Primärenergieträger - Total,Anteil in %
2370,1928,Erdölbrennstoffe,In TJ
1.930124602980699,1928,Erdölbrennstoffe,Anteil in %
4950,1928,Treibstoffe,In TJ
4.031272904959687,1928,Treibstoffe,Anteil in %
12240,1928,Elektrizität,In TJ
9.968238455900318,1928,Elektrizität,Anteil in %
3100,1928,Gas,In TJ
2.524635556641421,1928,Gas,Anteil in %
80710,1928,Kohle,In TJ
65.73010831500936,1928,Kohle,Anteil in %
19420,1928,Holz und Holzkohle,In TJ
15.81562016450851,1928,Holz und Holzkohle,Anteil in %
"""...""",1928,Fernwärme,In TJ
"""...""",1928,Fernwärme,Anteil in %
"""...""",1928,Abfälle,In TJ
"""...""",1928,Abfälle,Anteil in %
"""...""",1928,Übrige erneuerbare Energien,In TJ
"""...""",1928,Übrige erneuerbare Energien,Anteil in %
139290,1929,Primärenergieträger - Total,In TJ
100,1929,Primärenergieträger - Total,Anteil in %
2980,1929,Erdölbrennstoffe,In TJ
2.139421351137914,1929,Erdölbrennstoffe,Anteil in %
5860,1929,Treibstoffe,In TJ
4.207050039485965,1929,Treibstoffe,Anteil in %
13050,1929,Elektrizität,In TJ
9.368942494077105,1929,Elektrizität,Anteil in %
3330,1929,Gas,In TJ
2.390695670902434,1929,Gas,Anteil in %
94010,1929,Kohle,In TJ
67.49228228875009,1929,Kohle,Anteil in %
20060,1929,Holz und Holzkohle,In TJ
14.40160815564649,1929,Holz und Holzkohle,Anteil in %
"""...""",1929,Fernwärme,In TJ
"""...""",1929,Fernwärme,Anteil in %
"""...""",1929,Abfälle,In TJ
"""...""",1929,Abfälle,Anteil in %
"""...""",1929,Übrige erneuerbare Energien,In TJ
"""...""",1929,Übrige erneuerbare Energien,Anteil in %
130480,1930,Primärenergieträger - Total,In TJ
100,1930,Primärenergieträger - Total,Anteil in %
3310,1930,Erdölbrennstoffe,In TJ
2.536787247087676,1930,Erdölbrennstoffe,Anteil in %
6690,1930,Treibstoffe,In TJ
5.127222562844881,1930,Treibstoffe,Anteil in %
12830,1930,Elektrizität,In TJ
9.83292458614347,1930,Elektrizität,Anteil in %
3470,1930,Gas,In TJ
2.659411404046597,1930,Gas,Anteil in %
84870,1930,Kohle,In TJ
65.0444512568976,1930,Kohle,Anteil in %
19310,1930,Holz und Holzkohle,In TJ
14.79920294297977,1930,Holz und Holzkohle,Anteil in %
"""...""",1930,Fernwärme,In TJ
"""...""",1930,Fernwärme,Anteil in %
"""...""",1930,Abfälle,In TJ
"""...""",1930,Abfälle,Anteil in %
"""...""",1930,Übrige erneuerbare Energien,In TJ
"""...""",1930,Übrige erneuerbare Energien,Anteil in %
135000,1931,Primärenergieträger - Total,In TJ
100,1931,Primärenergieträger - Total,Anteil in %
3880,1931,Erdölbrennstoffe,In TJ
2.874074074074074,1931,Erdölbrennstoffe,Anteil in %
7730,1931,Treibstoffe,In TJ
5.725925925925926,1931,Treibstoffe,Anteil in %
12070,1931,Elektrizität,In TJ
8.940740740740742,1931,Elektrizität,Anteil in %
3640,1931,Gas,In TJ
2.696296296296296,1931,Gas,Anteil in %
87290,1931,Kohle,In TJ
64.65925925925926,1931,Kohle,Anteil in %
20390,1931,Holz und Holzkohle,In TJ
15.10370370370371,1931,Holz und Holzkohle,Anteil in %
"""...""",1931,Fernwärme,In TJ
"""...""",1931,Fernwärme,Anteil in %
"""...""",1931,Abfälle,In TJ
"""...""",1931,Abfälle,Anteil in %
"""...""",1931,Übrige erneuerbare Energien,In TJ
"""...""",1931,Übrige erneuerbare Energien,Anteil in %
134630,1932,Primärenergieträger - Total,In TJ
100,1932,Primärenergieträger - Total,Anteil in %
