category,filename,datum_column,source_url,download_url,title
population,marriages_by_age_class_nationality_and_marital_status_of_both_of_the_partners_1969_1986.csv,Value,https://opendata.swiss/en/dataset/marriages-by-age-class-nationality-and-marital-status-of-both-of-the-partners-1969-1986,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_103,"Marriages by age class, nationality and marital status of both of the partners, 1969-1986"
population,tendenzen_der_bevoelkerungsentwicklung_2015_2024_zukünftige_bevoelkerungsentwicklung_der_kantone_am_31_dezember_nach_alter_geschlecht_staatsangehoerigkeit_und_jahr.csv,Wert,https://opendata.swiss/en/dataset/tendenzen-der-bevolkerungsentwicklung-2015-2024-zukunftige-bevolkerungsentwicklung-der-kantone-am-31,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0104020000_201,"Tendenzen der Bevölkerungsentwicklung 2015-2024 - Zukünftige Bevölkerungsentwicklung der Kantone am 31. Dezember nach Alter, Geschlecht, Staatsangehörigkeit und Jahr"
population,marriages_by_age_class_nationality_and_marital_status_of_both_of_the_partners_1987_1997.csv,Value,https://opendata.swiss/en/dataset/marriages-by-age-class-nationality-and-marital-status-of-both-of-the-partners-1987-1997,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_104,"Marriages by age class, nationality and marital status of both of the partners, 1987-1997"
population,registered_partnerships_by_canton_type_of_partnership_marital_status_before_the_partnership_nationality_and_age_class_of_both_of_the_partners.csv,Value,https://opendata.swiss/en/dataset/registered-partnerships-by-canton-type-of-partnership-marital-status-before-the-partnership-national,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020208_101,"Registered partnerships by canton, type of partnership, marital status (before the partnership), nationality and age class of both of the partners"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2010.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_110,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_110,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2010"
population,deaths_since_1803.csv,Value,https://opendata.swiss/en/dataset/deaths-since-1803,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020206_110,Deaths since 1803
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_place_of_birth_and_age.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-canton-sex-residence-permit-place-of-birth-and-ag,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_102,"Permanent and non permanent resident population by canton, sex, residence permit, place of birth and age"
population,deaths_by_sex_nationality_marital_status_and_age.csv,Value,https://opendata.swiss/en/dataset/deaths-by-sex-nationality-marital-status-and-age,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020206_103,"Deaths by sex, nationality, marital status and age"
population,adoptions_by_canton_sex_age_and_nationality_prior_to_adoption_of_the_adopted_person_and_type_of_the_adoptant_person.csv,Value,https://opendata.swiss/en/dataset/adoptions-by-canton-sex-age-and-nationality-prior-to-adoption-of-the-adopted-person-and-type-of-the,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020205_101,"Adoptions by canton, sex, age and nationality (prior to adoption) of the adopted person and type of the adoptant person"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_class_and_citizenship.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-canton-sex-residence-permit-age-class-and-citizen,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_101,"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2014.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_114,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_114,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2014"
population,permanent_and_non_permanent_resident_population_by_institutional_units_citizenship_place_of_birth_and_age_class.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-institutional-units-citizenship-place-of-birth-an,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_201,"Permanent and non permanent resident population by institutional units, citizenship, place of birth and age class"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2013.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_113,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_113,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2013"
population,dissolved_partnerships_by_canton_type_and_duration_of_partnership_nationality_and_age_class_of_both_of_the_partners.csv,Value,https://opendata.swiss/en/dataset/dissolved-partnerships-by-canton-type-and-duration-of-partnership-nationality-and-age-class-of-both,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020208_102,"Dissolved partnerships by canton, type and duration of partnership, nationality and age class of both of the partners"
population,stillbirths_since_1803.csv,Value,https://opendata.swiss/en/dataset/stillbirths-since-1803,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020204_112,Stillbirths since 1803
population,live_births_per_month_and_fertility_since_1803.csv,Value,https://opendata.swiss/en/dataset/live-births-per-month-and-fertility-since-1803,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020204_111,Live births per month and fertility since 1803
population,acknowledgment_of_paternity_by_canton_sex_and_age_class_of_the_child.csv,Value,https://opendata.swiss/en/dataset/acknowledgment-of-paternity-by-canton-sex-and-age-class-of-the-child,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020207_102,"Acknowledgment of paternity by canton, sex and age class of the child"
population,acknowledgment_of_paternity_by_canton_sex_and_age_class_of_the_child_and_nationality_of_both_of_the_parents.csv,Value,https://opendata.swiss/en/dataset/acknowledgment-of-paternity-by-canton-sex-and-age-class-of-the-child-and-nationality-of-both-of-the,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020207_103,"Acknowledgment of paternity by canton, sex and age class of the child and nationality of both of the parents"
population,deaths_by_institutional_units_sex_nationality_marital_status_and_age_class.csv,Value,https://opendata.swiss/en/dataset/deaths-by-institutional-units-sex-nationality-marital-status-and-age-class,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020206_102,"Deaths by institutional units, sex, nationality, marital status and age class"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2012.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_112,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_112,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2012"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2015.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_115,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_115,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2015"
population,permanent_and_non_permanent_resident_population_by_canton_sex_residence_permit_age_and_citizenship_2011.csv,Value,https://opendata.swiss/en/dataset/px-x-0103010000_111,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_111,"Permanent and non permanent resident population by canton, sex, residence permit, age and citizenship, 2011"
population,deaths_per_month_and_mortality_since_1803.csv,Value,https://opendata.swiss/en/dataset/deaths-per-month-and-mortality-since-1803,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020206_111,Deaths per month and mortality since 1803
population,wanderung_der_staendigen_wohnbevoelkerung_nach_institutionellen_gliederungen_geschlecht_staatsangehoerigkeit_und_migrationstyp.csv,Wert,https://opendata.swiss/en/dataset/wanderung-der-standigen-wohnbevolkerung-nach-institutionellen-gliederungen-geschlecht-staatsangehori,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010200_121,"Wanderung der ständigen Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Staatsangehörigkeit und Migrationstyp"
population,periodensterbetafeln_fur_die_schweiz_1900_2150_nach_jahr_geschlecht_und_alter.csv,Wert,https://opendata.swiss/en/dataset/periodensterbetafeln-fur-die-schweiz-1900-2150-nach-jahr-geschlecht-und-alter,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020300_102,"Periodensterbetafeln für die Schweiz (1900-2150) nach Jahr, Geschlecht und Alter"
population,binnenabwanderung_der_staendigen_wohnbevoelkerung_nach_kanton_geschlecht_staatsangehoerigkeit_zivilstand_und_alter.csv,Wert,https://opendata.swiss/en/dataset/binnenabwanderung-der-standigen-wohnbevolkerung-nach-kanton-geschlecht-staatsangehorigkeit-zivilstan,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010200_111,"Binnenabwanderung der ständigen Wohnbevölkerung nach Kanton, Geschlecht, Staatsangehörigkeit, Zivilstand und Alter"
population,permanent_and_non_permanent_resident_population_by_institutional_units_sex_domicile_1_year_ago_citizenship_and_age_class_2010_2011.csv,Value,https://opendata.swiss/en/dataset/px-x-0103030000_107,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103030000_107,"Permanent and non permanent resident population by institutional units, sex, domicile 1 year ago, citizenship and age class, 2010-2011"
population,kohortensterbetafeln_für_die_schweiz_1900_2030_nach_geburtsjahrgang_geschlecht_und_alter.csv,Wert,https://opendata.swiss/en/dataset/kohortensterbetafeln-fur-die-schweiz-1900-2030-nach-geburtsjahrgang-geschlecht-und-alter,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020300_101,"Kohortensterbetafeln für die Schweiz (1900-2030) nach Geburtsjahrgang, Geschlecht und Alter"
population,live_births_since_1803.csv,Value,https://opendata.swiss/en/dataset/live-births-since-1803,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020204_110,Live births since 1803
population,staendige_und_nichtstaendige_wohnbevoelkerung_nach_kanton_geschlecht_zivilstand_geburtsstaat_und_staatsangehoerigkeit_2012_2013.csv,Wert,https://opendata.swiss/en/dataset/standige-und-nichtstandige-wohnbevolkerung-nach-kanton-geschlecht-zivilstand-geburtsstaat-und-staats,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010000_213,"Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Zivilstand, Geburtsstaat und Staatsangehörigkeit, 2012-2013"
population,einwanderung_der_staendigen_wohnbevoelkerung_nach_kanton_geschlecht_staatsangehoerigkeit_und_alter.csv,Wert,https://opendata.swiss/en/dataset/einwanderung-der-standigen-wohnbevolkerung-nach-kanton-geschlecht-staatsangehorigkeit-und-alter,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103020200_101,"Einwanderung der ständigen Wohnbevölkerung nach Kanton, Geschlecht, Staatsangehörigkeit und Alter"
population,einwanderung_der_staendigen_wohnbevoelkerung_nach_kanton_geschlecht_staatsangehoerigkeit_und_altersklasse.csv,Wert,https://opendata.swiss/en/dataset/einwanderung-der-standigen-wohnbevolkerung-nach-kanton-geschlecht-staatsangehorigkeit-und-altersklas,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103020200_102,"Einwanderung der ständigen Wohnbevölkerung nach Kanton, Geschlecht, Staatsangehörigkeit und Altersklasse"
population,einwanderung_der_staendigen_wohnbevoelkerung_nach_kanton_geschlecht_staatsangehoerigkeit_geburtsstaat_und_altersklasse.csv,Wert,https://opendata.swiss/en/dataset/einwanderung-der-standigen-wohnbevolkerung-nach-kanton-geschlecht-staatsangehorigkeit-geburtsstaat-u,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103020200_103,"Einwanderung der ständigen Wohnbevölkerung nach Kanton, Geschlecht, Staatsangehörigkeit, Geburtsstaat und Altersklasse"
population,binnenzuwanderung_der_staendigen_wohnbevoelkerung_nach_kanton_geschlecht_staatsangehoerigkeit_zivilstand_und_alter.csv,Wert,https://opendata.swiss/en/dataset/binnenzuwanderung-der-standigen-wohnbevolkerung-nach-kanton-geschlecht-staatsangehorigkeit-zivilstan,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0103010200_101,"Binnenzuwanderung der ständigen Wohnbevölkerung nach Kanton, Geschlecht, Staatsangehörigkeit, Zivilstand und Alter"
